Codice;Paese;Moneta;Anno;Pop_mln;Occup_mln;HCI;PIL_reale;Consumo_reale;Capitale_reale;Tasso_Cambio_Moneta_USD;PIL_cons;PIL_inv;PIL_pub;PIL_exp;PIL_imp;PIL_res
GBR;United Kingdom;Pound Sterling;2014;64.33;30.96;3.73;2350437.25;1991213.38;10107181.00;0.61;0.63;0.23;0.19;0.27;-0.38;0.04
GRC;Greece;Euro;2012;11.11;4.16;2.98;251735.53;246431.47;1602565.13;0.78;0.71;0.16;0.25;0.18;-0.37;0.07
GRC;Greece;Euro;2013;11.06;3.98;3.00;243684.42;238264.39;1587005.00;0.75;0.70;0.14;0.23;0.18;-0.33;0.08
GRC;Greece;Euro;2014;11.00;3.99;3.03;245278.08;237780.88;1572530.88;0.75;0.71;0.15;0.22;0.18;-0.36;0.09
HRV;Croatia;Croatian Kuna;2012;4.29;1.51;3.31;83371.92;67904.87;389115.38;5.85;0.56;0.22;0.24;0.19;-0.37;0.15
HRV;Croatia;Croatian Kuna;2013;4.27;1.46;3.35;82484.91;67048.59;394997.34;5.70;0.58;0.21;0.25;0.21;-0.42;0.16
HRV;Croatia;Croatian Kuna;2014;4.26;1.50;3.39;82187.61;66391.29;400004.38;5.75;0.58;0.20;0.25;0.22;-0.43;0.18
HUN;Hungary;Forint;2012;9.96;4.01;3.31;205105.13;170628.81;942851.44;225.10;0.54;0.21;0.29;0.70;-0.74;0.00
HUN;Hungary;Forint;2013;9.92;4.04;3.32;208981.14;172127.59;950971.56;223.70;0.54;0.21;0.29;0.72;-0.76;0.00
HUN;Hungary;Forint;2014;9.89;4.16;3.34;216655.39;175794.52;964559.88;232.60;0.53;0.22;0.29;0.72;-0.77;0.00
IRL;Ireland;Euro;2012;4.67;1.82;3.07;228240.20;115305.19;923492.06;0.78;0.38;0.26;0.14;0.70;-0.41;-0.07
IRL;Ireland;Euro;2013;4.67;1.84;3.08;231513.84;115368.77;935264.44;0.75;0.38;0.24;0.14;0.67;-0.42;-0.01
IRL;Ireland;Euro;2014;4.68;1.85;3.10;243551.11;118373.06;954253.38;0.75;0.37;0.26;0.14;0.66;-0.43;-0.01
ITA;Italy;Euro;2012;59.74;24.14;3.03;2038678.25;1585201.13;11783097.00;0.78;0.60;0.24;0.18;0.31;-0.33;0.00
ITA;Italy;Euro;2013;59.77;23.64;3.05;2003054.13;1551453.25;11816712.00;0.75;0.60;0.22;0.18;0.32;-0.33;0.01
ITA;Italy;Euro;2014;59.79;23.58;3.07;1994163.00;1553721.38;11838729.00;0.75;0.60;0.21;0.18;0.33;-0.32;0.00
LTU;Lithuania;Euro;2012;3.02;1.09;3.18;64543.41;58800.05;225016.81;0.78;0.63;0.19;0.27;0.71;-0.81;0.00
LTU;Lithuania;Euro;2013;2.96;1.09;3.20;66831.03;60902.48;229532.59;0.75;0.66;0.19;0.26;0.76;-0.87;0.00
LTU;Lithuania;Euro;2014;2.92;1.10;3.21;68857.55;63033.13;234437.56;0.75;0.66;0.18;0.26;0.74;-0.84;0.00
LUX;Luxembourg;Euro;2012;0.53;0.40;3.27;27857.14;20058.57;165086.13;0.78;0.50;0.43;0.17;0.60;-1.19;0.49
LUX;Luxembourg;Euro;2013;0.54;0.41;3.32;29068.00;20454.52;169117.03;0.75;0.51;0.38;0.18;0.60;-1.17;0.50
LUX;Luxembourg;Euro;2014;0.56;0.42;3.36;30250.86;21281.27;174072.03;0.75;0.44;0.36;0.16;0.54;-0.97;0.47
LVA;Latvia;Euro;2012;2.04;0.81;3.06;39552.50;33871.07;254041.34;0.78;0.60;0.26;0.25;0.44;-0.63;0.08
LVA;Latvia;Euro;2013;2.01;0.82;3.07;40747.63;35320.61;256076.38;0.75;0.62;0.23;0.25;0.44;-0.63;0.08
LVA;Latvia;Euro;2014;1.99;0.81;3.08;41708.95;36336.00;257908.23;0.75;0.61;0.23;0.24;0.42;-0.59;0.08
MLT;Malta;Euro;2012;0.42;0.17;3.03;10134.46;9334.73;38917.22;0.78;0.67;0.24;0.26;0.74;-1.21;0.29
MLT;Malta;Euro;2013;0.42;0.18;3.05;10402.30;9468.46;39762.63;0.75;0.68;0.25;0.27;0.68;-1.17;0.30
MLT;Malta;Euro;2014;0.42;0.19;3.07;10770.91;9855.09;40832.66;0.75;0.70;0.25;0.28;0.65;-1.28;0.39
NLD;Netherlands;Euro;2012;16.75;8.85;3.30;736370.13;513824.25;3310525.00;0.78;0.46;0.23;0.23;0.98;-0.93;0.03
NLD;Netherlands;Euro;2013;16.81;8.76;3.31;732722.31;509552.72;3336627.25;0.75;0.43;0.21;0.22;0.97;-0.86;0.03
NLD;Netherlands;Euro;2014;16.87;8.74;3.33;740131.06;510063.72;3367358.75;0.75;0.44;0.21;0.22;0.97;-0.88;0.04
NOR;Norway;Norwegian Krone;2012;5.02;2.68;3.59;410383.88;174841.16;1148993.88;5.82;0.31;0.25;0.12;0.62;-0.28;-0.02
NOR;Norway;Norwegian Krone;2013;5.08;2.72;3.60;414482.41;178488.64;1184296.75;5.88;0.32;0.26;0.13;0.59;-0.29;-0.02
NOR;Norway;Norwegian Krone;2014;5.15;2.75;3.61;423662.19;182314.02;1218409.75;6.30;0.34;0.27;0.14;0.56;-0.30;-0.02
POL;Poland;Zloty;2012;38.61;15.55;3.28;855949.50;725989.19;1935722.13;3.26;0.62;0.17;0.23;0.27;-0.32;0.02
POL;Poland;Zloty;2013;38.62;15.56;3.30;866774.88;730820.00;2002663.63;3.16;0.62;0.16;0.23;0.30;-0.33;0.02
POL;Poland;Zloty;2014;38.62;15.84;3.33;895673.56;753211.06;2083142.00;3.15;0.62;0.17;0.23;0.30;-0.34;0.02
PRT;Portugal;Euro;2012;10.52;4.47;2.39;254686.08;220572.39;1713377.63;0.78;0.65;0.20;0.21;0.29;-0.41;0.06
PRT;Portugal;Euro;2013;10.46;4.31;2.41;251807.72;217544.22;1712239.00;0.75;0.66;0.19;0.20;0.31;-0.43;0.07
PRT;Portugal;Euro;2014;10.40;4.34;2.43;254088.59;221095.69;1713123.50;0.75;0.66;0.19;0.20;0.31;-0.43;0.07
ROU;Romania;New Leu;2012;19.94;7.89;3.14;347606.09;286072.56;1532367.00;3.47;0.57;0.27;0.24;0.20;-0.29;0.02
ROU;Romania;New Leu;2013;19.79;7.80;3.16;359882.13;285697.59;1559995.13;3.33;0.57;0.24;0.23;0.23;-0.30;0.03
ROU;Romania;New Leu;2014;19.65;7.83;3.18;369877.31;302052.47;1578942.63;3.35;0.59;0.21;0.22;0.23;-0.30;0.04
SVK;Slovakia;Euro;2012;5.42;2.18;3.66;123518.05;107800.56;425686.47;0.78;0.62;0.22;0.27;0.83;-0.94;0.00
SVK;Slovakia;Euro;2013;5.42;2.16;3.69;125281.80;107700.51;432988.03;0.75;0.62;0.21;0.27;0.86;-0.97;0.00
SVK;Slovakia;Euro;2014;5.42;2.19;3.71;128441.34;111132.48;441076.69;0.75;0.61;0.22;0.27;0.82;-0.88;-0.05
SVN;Slovenia;Euro;2012;2.06;0.97;3.43;52088.82;42512.45;277063.19;0.78;0.59;0.24;0.23;0.68;-0.81;0.07
SVN;Slovenia;Euro;2013;2.06;0.96;3.45;51537.85;41054.62;278185.69;0.75;0.58;0.25;0.22;0.72;-0.83;0.07
SVN;Slovenia;Euro;2014;2.07;0.97;3.47;53108.89;41255.11;279666.41;0.75;0.56;0.24;0.21;0.72;-0.81;0.07
SWE;Sweden;Swedish Krona;2012;9.54;4.64;3.37;397036.34;285646.81;1588210.25;6.78;0.49;0.26;0.23;0.56;-0.58;0.03
SWE;Sweden;Swedish Krona;2013;9.62;4.68;3.38;401964.41;290374.69;1609082.13;6.51;0.50;0.27;0.23;0.54;-0.57;0.03
SWE;Sweden;Swedish Krona;2014;9.70;4.75;3.39;411337.53;296177.41;1635615.38;6.86;0.50;0.28;0.23;0.53;-0.57;0.03
